Unnamed: 0,Name,Block,Reactor,Status,Net performance MW,Gross performance MW,Commissioning (planned),Shutdown (planned),Sleepment [11] (TWH),country,lat,lon,decommission_year,commission_year
144,Oskarshamn,3,BWR,In Betrieb,1400.0,1450,15.08.1985,–,276.07,Sweden,57.41555556,16.67111111,2051,1985.0
145,Ringhals,1,BWR,Stillgelegt,881.0,910,01.01.1976,31.12.2020 [39],209.66,Sweden,57.26111111,12.10833333,2020,1976.0
146,Ringhals,2,PWR,Stillgelegt,907.0,963,01.05.1975,30.12.2019 [40],211.01,Sweden,57.26111111,12.10833333,2019,1975.0
147,Ringhals,3,PWR,In Betrieb,1062.0,1117,09.09.1981,–,244.28,Sweden,57.26111111,12.10833333,2051,1981.0
148,Ringhals,4,PWR,In Betrieb,1102.0,1171,21.11.1983,–,235.75,Sweden,57.26111111,12.10833333,2051,1983.0
149,Beznau,1,DWR,In Betrieb,365.0,380,1969-12-09  01.09.1969,–,119.4,Switzerland,47.55222222,8.227777778,2051,1969.0
150,Beznau,2,DWR,In Betrieb,365.0,380,1972-03-04  04.03.1972,–,125.74,Switzerland,47.55222222,8.227777778,2051,1972.0
151,Gösgen,1,DWR,In Betrieb,1010.0,1060,1979-11-01  01.11.1979,–,281.37,Switzerland,47.36583333,7.968888889,2051,1979.0
152,Leibstadt,1,SWR,In Betrieb,1220.0,1275,1984-12-15  15.12.1984,–,265.95,Switzerland,47.60135,8.18375,2051,1984.0
153,Mühleberg,1,SWR,Stillgelegt,373.0,390,1972-11-06  06.11.1972,20.12.2019 [45],116.37,Switzerland,46.97083333,7.270277778,2019,1972.0
154,Bohunice,A1,HWGCR,Stillgelegt,93.0,143,25.12.1972,22.02.1977,0.92,Slovakia,48.49444444,17.68055556,1977,1972.0
155,Bohunice,1,PWR,Stillgelegt,408.0,440,01.04.1980,31.12.2006,71.57,Slovakia,48.49444444,17.68055556,2006,1980.0
156,Bohunice,2,PWR,Stillgelegt,408.0,440,01.01.1981,31.12.2008,76.96,Slovakia,48.49444444,17.68055556,2008,1981.0
157,Bohunice,3,PWR,In Betrieb,471.0,505,14.02.1985,–,101.82,Slovakia,48.49444444,17.68055556,2051,1985.0
158,Bohunice,4,PWR,In Betrieb,471.0,505,18.12.1985,–,100.66,Slovakia,48.49444444,17.68055556,2051,1985.0
159,Mochovce,1,PWR,In Betrieb,436.0,470,29.10.1998,–,63.78,Slovakia,48.26388889,18.45694444,2051,1998.0
160,Mochovce,2,PWR,In Betrieb,436.0,470,11.04.2000,–,59.21,Slovakia,48.26388889,18.45694444,2051,2000.0
161,Mochovce,3,PWR,In Bau  seit 1987,440.0,471,–,–,–,Slovakia,48.26388889,18.45694444,2051,
162,Mochovce,4,PWR,In Bau  seit 1987,440.0,471,–,–,–,Slovakia,48.26388889,18.45694444,2051,
163,Krško,–,PWR,In Betrieb,688.0,727,01.01.1983,–,177.72,Slovenia,45.93841389,15.51546944,2051,1983.0
164,Almaraz,1,PWR,In Betrieb,1011.0,1049,01.09.1983,–,255.94,Spain,39.8084,-5.6695,2027,1983.0
165,Almaraz,2,PWR,In Betrieb,1006.0,1044,01.07.1984,–,252.95,Spain,39.8084,-5.6695,2028,1984.0
166,Ascó,1,PWR,In Betrieb,995.0,1033,10.12.1984,–,246.39,Spain,41.2,0.569444444,2029,1984.0
167,Ascó,2,PWR,In Betrieb,997.0,1035,31.03.1986,–,240.9,Spain,41.2,0.569444444,2030,1986.0
